polygon_number,treatment,landscape,full_name
1,agriculture,andover,andover_agric_1
2,agriculture,andover,andover_agric_2
3,agriculture,andover,andover_agric_3
4,grazing,andover,andover_grazing_1
5,grazing,andover,andover_grazing_2
6,nature_reserve,andover,andover_nature_reserve
7,agriculture,erosion,erosion_agric_1
8,agriculture,erosion,erosion_agric_2
9,grazing,erosion,erosion_grazing_1
10,grazing,erosion,erosion_grazing_2
11,kruger,L1,landuse_1_kruger
12,kruger,L2,landuse_2_kruger
13,private_reserve,L2,landuse_2_private_reserve
14,agriculture,L7,landuse_7_agric_1
15,agriculture,L7,landuse_7_agric_2
16,agriculture,L7,landuse_7_agric_3
17,grazing,L7,landuse_7_grazing_1
18,grazing,L7,landuse_7_grazing_2
19,private_reserve,L7,landuse_7_private_reserve
20,agriculture,L8,landuse_8_agric_1
21,grazing,L8,landuse_8_grazing_1
22,grazing,L8,landuse_8_grazing_2
23,grazing,L8,landuse_8_grazing_3
24,agriculture,L456,landuse_456_agric_1
25,agriculture,L456,landuse_456_agric_2
26,grazing,L456,landuse_456_grazing_1
27,grazing,L456,landuse_456_grazing_2
28,grazing,L456,landuse_456_grazing_3
29,private_reserve,L456,landuse_456_private_reserve
30,kruger,nwaswitshaka,nwas_kruger_1
31,kruger,nwaswitshaka,nwas_kruger_2
